Content,NH,OSA,Q_type,Qid01,Qid02,Qid03,Test_id,Text_test_Q,accept_status,browser_codename,browser_name,browser_version,checkbox_status,correct_response,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_jatosWorkerId,response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,system_os
None,None,None,Basic,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,不想回答,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Basic,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,2,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,Belief,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,4：有點正確,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,self_eval,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,6,1080,1920,24,1080,24,1912,1072,1920,Win32
None,None,None,self_eval,None,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,6,1080,1920,24,1080,24,1912,1072,1920,Win32
在運動團隊的相關研究中，教練採取嚴格的控制手段要求選手在訓練中付出努力，是十分常見的現象。過往亦有不少研究者從威權領導的理論觀點切入來探討此一現象，然而，儘管這些研究已累積了初步的研究成果，但多侷限於相似概念的質性訪談，沒有直接以實徵研究來釐清教練威權領導與選手努力行為的關係。因此，對於威權領導是否真的能促使選手付出更多努力，仍缺乏一明確的答案，形成了重要的研究缺口。為了彌補此一缺口，本研究依循雙向度威權領導的概念架構，將之區分為專權領導與尚嚴領導，並從領導權變觀點出發，提出了選手的目標導向作為邊界條件的理論模型。根據348筆大專甲組棒球員的資料顯示，尚嚴領導會提升選手的努力行為；但當選手擁有高逃避表現目標導向或高證明表現目標導向時，此一正向路徑的效果會弱化。另一方面，只有在選手擁有低證明表現目標導向時，專權領導才會對選手的努力行為具有負向預測效果。藉此，本研究釐清了教練的嚴格控制是否會促使選手更加努力，補足過往對此一重要現象缺乏實徵研究的缺口。,N,Y,Post_survey,6,None,None,None,None,None,Mozilla,Netscape,5.0 (Windows),None,None,14-08-21,14-08-21,16:05:10,0,0,0,0,0,44149,3.6.1,2581,2097,6,1080,1920,24,1080,24,1912,1072,1920,Win32
