"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"93440","2022/03/16 13:33:05","2022/03/16 14:54:30","01:21:25 (not finished yet)","Default","95818","General Single","DATA_RETRIEVED","none"
"91317","2022/03/10 15:08:35","2022/03/10 22:15:11","07:06:36 (not finished yet)","Default","93851","General Single","DATA_RETRIEVED","none"
"89035","2022/03/06 15:36:53","2022/03/06 16:19:10","00:43:41","Default","91755","General Single","FINISHED","none"
"88866","2022/03/06 13:03:17","2022/03/06 13:54:00","00:51:46","Default","91587","General Single","FINISHED","none"
"88422","2022/03/05 08:55:02","2022/03/05 09:43:32","00:49:37","Default","91171","General Single","FINISHED","none"
"88421","2022/03/05 08:54:03","2022/03/05 09:44:22","00:50:35","Default","91170","General Single","FINISHED","none"
"88256","2022/03/04 16:27:58","2022/03/04 17:04:14","00:36:31","Default","91005","General Single","FINISHED","none"
"87905","2022/03/03 15:09:51","2022/03/03 16:12:32","01:02:50","Default","90704","General Single","FINISHED","none"
"87321","2022/03/02 14:36:10","2022/03/02 16:02:40","01:26:30 (not finished yet)","Default","90139","General Single","DATA_RETRIEVED","none"
"87216","2022/03/02 10:38:52","2022/03/02 11:05:03","00:26:11 (not finished yet)","Default","90055","General Single","DATA_RETRIEVED","none"
"87207","2022/03/02 10:16:18","2022/03/02 10:48:30","00:33:10","Default","90047","General Single","FINISHED","none"
"87139","2022/03/02 03:15:44","2022/03/02 04:01:57","00:47:56","Default","89982","General Single","FINISHED","none"
"86501","2022/02/28 12:17:09","2022/02/28 12:59:33","00:43:45","Default","89433","General Single","FINISHED","none"
"86288","2022/02/27 12:06:09","2022/02/27 12:40:23","00:34:14 (not finished yet)","Default","89234","General Single","DATA_RETRIEVED","none"
"86202","2022/02/27 03:11:23","2022/02/27 03:47:38","00:36:40","Default","89150","General Single","FINISHED","none"
"86131","2022/02/26 13:45:25","2022/02/26 14:35:37","00:51:03","Default","89084","General Single","FINISHED","none"
"85756","2022/02/25 08:50:58","2022/02/25 09:31:11","00:40:56","Default","88645","General Single","FINISHED","none"
