Subject,List,FirstorSecond,Accuracy,SentenceBlankPictureGrayACC,SentenceBlankPictureColorACC,SentenceColorPictureColorACC,SentenceColorPictureGrayscaleACC,SentenceBlankPictureGrayRT,SentenceBlankPictureColorRT,SentenceColorPictureColorRT,SentenceColorPictureGrayRT,Experiment
37,1,2,1,1,1,1,1,595,579.5,534,651.5,1
39,2,2,1,1,1,1,1,464,483,497,548.5,1
41,3,1,1,1,1,1,1,1222,1016.5,934,1037.5,1
43,4,2,1,1,1,1,1,507.5,553.5,600,685,1
45,1,1,1,1,1,1,1,785,839,860,690.5,1
47,2,2,1,1,1,1,1,556.5,603.5,571,645.5,1
49,3,1,0.979166667,1,0.916666667,1,1,814.5,783,839,816,1
51,4,2,1,1,1,1,1,1059,1110,1087.5,1351,1
53,1,2,1,1,1,1,1,1536,1509,1380,1558.5,1
55,2,2,0.958333333,1,1,0.916666667,0.916666667,1767,1765.5,1592,1372,1
57,3,1,0.958333333,1,0.916666667,0.916666667,1,537,515,590,591.5,1
59,4,1,0.958333333,0.916666667,0.916666667,1,1,743,917,895.5,742,1
61,1,1,0.979166667,1,1,1,0.916666667,758,667,775.5,734,1
63,2,2,1,1,1,1,1,673.5,684.5,642,823,1
65,3,2,1,1,1,1,1,587,632,602,730.5,1
67,4,1,0.979166667,1,1,1,0.916666667,1029.5,1065.5,1283.5,1097,1
69,1,2,1,1,1,1,1,570.5,519,523,599.5,1
71,2,2,0.9375,1,0.916666667,0.916666667,0.916666667,895,1362,717,1257,1
73,3,2,1,1,1,1,1,1186.5,1125.5,1279.5,1255,1
75,4,2,1,1,1,1,1,743.5,818,838.5,1026,1
77,1,1,0.958333333,0.916666667,1,1,0.916666667,791,804,739.5,803,1
79,2,1,1,1,1,1,1,1689,1195.5,726.5,1094.5,1
81,3,2,1,1,1,1,1,806.5,782,1050.5,1135.5,1
83,4,2,0.958333333,0.916666667,1,1,0.916666667,911,932.5,1045,1163,1
85,1,2,0.979166667,0.916666667,1,1,1,733,919,847,1101,1
87,2,2,1,1,1,1,1,860,959,879.5,945.5,1
89,3,2,0.979166667,1,1,1,0.916666667,511.5,525,540,681,1
91,4,2,0.9375,0.916666667,1,1,0.833333333,599,440.5,472,646,1
93,1,1,0.916666667,0.833333333,1,1,0.833333333,575,582.5,546.5,721,1
95,2,2,1,1,1,1,1,639,867.5,641,746,1
97,3,2,1,1,1,1,1,836.5,873,779,1471,1
99,4,1,1,1,1,1,1,1170,1082,1173,1257,1
101,1,1,0.979166667,1,1,1,0.916666667,728,776.5,669,784,1
103,2,2,0.979166667,1,1,1,0.916666667,851,787.5,640.5,1080,1
105,3,2,0.958333333,1,0.916666667,0.916666667,1,1366.5,1793,1462,1495.5,1
107,4,1,0.979166667,1,1,1,0.916666667,1037.5,894.5,1167,1443,1
111,2,2,0.895833333,1,0.916666667,1,0.666666667,966.5,1280,1052.5,1137,1
113,3,2,0.979166667,0.916666667,1,1,1,539,515,515,606,1
115,4,1,0.979166667,1,1,1,0.916666667,577,736.5,875.5,835,1
117,1,2,1,1,1,1,1,1357,1310,1121.5,1456,1
119,2,1,0.958333333,1,1,0.916666667,0.916666667,649.5,629,696,703,1
123,4,1,1,1,1,1,1,669,642.5,681.5,816.5,1
125,1,1,0.979166667,1,1,0.916666667,1,841.5,993.5,623,872,1
129,3,1,0.958333333,1,1,0.833333333,1,1259.5,1337,1377.5,1196,1
131,4,1,0.958333333,0.916666667,0.916666667,1,1,597,531,634,605.5,1
133,1,2,0.979166667,1,0.916666667,1,1,538,492,474.5,488,1
135,2,2,1,1,1,1,1,953.5,1142,871.5,1092,1
137,3,1,1,1,1,1,1,1281.5,1414,1295.5,1842.5,1
139,4,2,0.9375,1,1,1,0.75,685,691,677,664,1
141,1,1,0.979166667,1,1,1,0.916666667,709,697.5,620.5,691,1
143,2,2,1,1,1,1,1,746.5,939,720.5,709.5,1
145,3,1,0.9375,1,0.916666667,0.833333333,1,367.5,359,376,391.5,1
147,4,1,0.979166667,1,1,0.916666667,1,704,1159,1039,1004.5,1
149,1,2,0.979166667,0.916666667,1,1,1,715,765,687.5,772,1
151,2,1,0.979166667,1,0.916666667,1,1,646.5,673,756.5,663.5,1
153,3,1,0.979166667,1,1,1,0.916666667,640.5,567,464,634,1
155,4,1,0.979166667,1,1,1,0.916666667,491,698.5,525.5,669,1
157,1,1,0.979166667,0.916666667,1,1,1,668,661,651,815,1
159,2,1,0.958333333,1,1,0.916666667,0.916666667,760.5,684,673,803,1
161,3,1,0.958333333,1,0.916666667,0.916666667,1,789,708,625,762,1
163,4,2,1,1,1,1,1,1135.5,1020.5,963,1349.5,1
165,1,2,1,1,1,1,1,1177,692.5,1802,1030,1
167,2,1,0.979166667,1,1,0.916666667,1,1093,1221.5,1019,1014,1
169,2,2,0.979166667,1,1,1,0.916666667,880,904,774,842,1
171,4,2,0.958333333,0.916666667,1,1,0.916666667,1545,1389,1878,1813,1
173,2,1,1,1,1,1,1,664,720,810,707.5,1
175,4,1,0.979166667,1,1,0.916666667,1,957.5,985.5,782,1710.5,1
