picture,term,Color_pic,Design
airfreshenerorange_CJJ.png,空氣清新劑,Y,Critical
axeyellow_CJJ.png,斧頭,Y,Critical
balloonpurple_HKL.png,氣球,Y,Critical
baseballyellow_LQN.png,洗衣籃,Y,Filler
bicyclered_CWL.png,腳踏車,Y,Critical
binorange_CHN.png,蝴蝶,Y,Filler
blousegreen_CJJ.png,襯衫,Y,Critical
blowdryerpurple_Jed.png,腰帶,Y,Filler
boomboxred_LTY.png,沙漏,Y,Filler
bowlpurple_CWL.png,碗,Y,Critical
chairred_HKL.png,椅子,Y,Critical
checkbookblue_CJJ.png,支票簿,Y,Critical
chestblue_CHN.png,寶箱,Y,Critical
coatbuttonbrown_Willy.png,外套鈕扣,Y,Critical
cookiejarbrown_HKL.png,餅乾罐,Y,Critical
cuppink_CWL.png,杯子,Y,Critical
featherdusterbrown_CWL.png,羽毛撣子,Y,Critical
fishgreen_Willy.png,魚,Y,Critical
forkorange_HKL.png,叉子,Y,Critical
gloveblue_CWL.png,手套,Y,Critical
hammerpink_CJJ.png,錘子,Y,Critical
helmetyellow_HKL.png,安全帽,Y,Critical
knifepurple_HKL.png,刀子,Y,Critical
lampblue_CWL.png,桌燈,Y,Critical
leggingspurple_Willy.png,緊身褲,Y,Critical
lipstickbrown_CJJ.png,口紅,Y,Critical
mousepadred_Willy.png,滑鼠墊,Y,Critical
paperbagred_CKW.png,旗幟,Y,Filler
plushyblue_LTY.png,指甲銼,Y,Filler
sawyello_Willy.png,電鋸,Y,Critical
scarforange_Willy.png,圍巾,Y,Critical
screwdriverpurple_Willy.png,螺絲起子,Y,Critical
screwyellow_CHN.png,螺絲釘,Y,Critical
shoesred_CWL.png,鞋子,Y,Critical
shortsyellow_CJJ.png,短褲,Y,Critical
skirtpink_CJJ.png,裙子,Y,Critical
slippersblue_Willy.png,拖鞋,Y,Critical
sodacangreen_HKL.png,汽水罐,Y,Critical
stickgreen_LQN.png,小提琴,Y,Filler
stickynoteblue_LTY.png,瓶蓋,Y,Filler
sunglassesred_CJJ.png,網球拍,Y,Critical
tableorange_CWL.png,桌子,Y,Critical
toothbrushpurple_CJJ.png,牙刷,Y,Critical
tshirtbrown_HKL.png,T恤,Y,Critical
usbbrown_CKW.png,領帶,Y,Filler
volleyballpink_LTY.png,郵票,Y,Filler
wrenchgreen_HKL.png,板手,Y,Critical
yogamatgreen_Willy.png,瑜珈墊,Y,Critical
airfreshener_CJJ.png,空氣清新劑,N,Critical
axe_CJJ.png,斧頭,N,Critical
balloon_HKL.png,氣球,N,Critical
baseball_LQN.png,洗衣籃,N,Filler
bicycle_CWL.png,腳踏車,N,Critical
bin_CHN.png,蝴蝶,N,Filler
blouse_CJJ.png,襯衫,N,Critical
blowdryer_Jed.png,腰帶,N,Filler
boombox_LTY.png,沙漏,N,Filler
bowl_CWL.png,碗,N,Critical
chair_HKL.png,椅子,N,Critical
checkbook_CJJ.png,支票簿,N,Critical
chest_CHN.png,寶箱,N,Critical
coatbutton_Willy.png,外套鈕扣,N,Critical
cookiejar_HKL.png,餅乾罐,N,Critical
cup_CWL.png,杯子,N,Critical
featherduster_CWL.png,羽毛撣子,N,Critical
fish_Willy.png,魚,N,Critical
fork_HKL.png,叉子,N,Critical
glove_CWL.png,手套,N,Critical
hammer_CJJ.png,錘子,N,Critical
helmet_HKL.png,安全帽,N,Critical
knife_HKL.png,刀子,N,Critical
lamp_CWL.png,桌燈,N,Critical
leggings_Willy.png,緊身褲,N,Critical
lipstick_CJJ.png,口紅,N,Critical
mousepad_Willy.png,滑鼠墊,N,Critical
paperbag_CKW.png,旗幟,N,Filler
plushy_LTY.png,指甲銼,N,Filler
saw_Willy.png,電鋸,N,Critical
scarf_Willy.png,圍巾,N,Critical
screwdriver_Willy.png,螺絲起子,N,Critical
screw_CHN.png,螺絲釘,N,Critical
shoes_CWL.png,鞋子,N,Critical
shorts_CJJ.png,短褲,N,Critical
skirt_CJJ.png,裙子,N,Critical
slippers_Willy.png,拖鞋,N,Critical
sodacan_HKL.png,汽水罐,N,Critical
stick_LQN.png,小提琴,N,Filler
stickynote_LTY.png,瓶蓋,N,Filler
sunglasses_CJJ.png,網球拍,N,Critical
