"List01","List02","List03","List04"
0,0,37,25
1,0,0,37
13,1,0,0
0,13,25,0
14,0,0,26
0,2,38,0
2,14,0,0
0,0,26,38
3,0,39,0
0,3,0,39
15,0,27,0
0,15,0,27
0,16,28,0
4,0,40,0
16,0,0,28
0,4,0,40
0,5,0,41
0,0,41,29
17,0,29,0
5,17,0,0
0,6,0,42
18,0,0,30
0,18,30,0
6,0,42,0
19,0,31,0
7,0,0,43
0,7,43,0
0,19,0,31
0,20,32,0
20,8,0,0
8,0,0,44
0,0,44,32
0,9,0,45
0,21,33,0
21,0,0,33
9,0,45,0
0,10,0,46
10,0,46,0
22,0,34,0
0,22,0,34
11,23,0,0
0,0,35,47
23,11,0,0
0,0,47,35
0,12,48,0
0,24,0,36
24,0,36,0
12,0,0,48
25,37,0,0
0,25,13,0
0,0,1,13
37,0,0,1
0,26,14,0
38,0,0,2
0,0,2,14
26,38,0,0
0,39,0,3
27,0,15,0
0,27,0,15
39,0,3,0
40,0,0,4
0,28,0,16
0,40,4,0
28,0,16,0
29,0,17,0
41,29,0,0
0,41,0,5
0,0,5,17
42,0,6,0
0,30,18,0
30,0,0,18
0,42,0,6
0,43,0,7
0,31,19,0
31,0,0,19
43,0,7,0
32,0,0,20
0,0,20,8
0,44,8,0
44,32,0,0
45,0,9,0
33,0,0,21
0,33,21,0
0,45,0,9
46,0,10,0
0,46,0,10
0,34,0,22
34,0,22,0
0,0,23,11
47,35,0,0
0,0,11,23
35,47,0,0
36,0,0,24
48,0,12,0
0,48,0,12
0,36,24,0
73,85,0,0
0,73,61,0
0,0,49,61
85,0,0,49
0,74,62,0
86,0,0,50
0,0,50,62
74,86,0,0
0,87,0,51
75,0,63,0
0,75,0,63
87,0,51,0
88,0,0,52
0,76,0,64
0,88,52,0
76,0,64,0
77,0,65,0
89,77,0,0
0,89,0,53
0,0,53,65
90,0,54,0
0,78,66,0
78,0,0,66
0,90,0,54
0,91,0,55
0,79,67,0
79,0,0,67
91,0,55,0
80,0,0,68
0,0,68,56
0,92,56,0
92,80,0,0
93,0,57,0
81,0,0,69
0,81,69,0
0,93,0,57
94,0,58,0
0,94,0,58
0,82,0,70
82,0,70,0
0,0,71,59
95,83,0,0
0,0,59,71
83,95,0,0
84,0,0,72
96,0,60,0
0,96,0,60
0,84,72,0
0,0,85,73
49,0,0,85
61,49,0,0
0,61,73,0
62,0,0,74
0,50,86,0
50,62,0,0
0,0,74,86
51,0,87,0
0,51,0,87
63,0,75,0
0,63,0,75
0,64,76,0
52,0,88,0
64,0,0,76
0,52,0,88
0,53,0,89
0,0,89,77
65,0,77,0
53,65,0,0
0,54,0,90
66,0,0,78
0,66,78,0
54,0,90,0
67,0,79,0
55,0,0,91
0,55,91,0
0,67,0,79
0,68,80,0
68,56,0,0
56,0,0,92
0,0,92,80
0,57,0,93
0,69,81,0
69,0,0,81
57,0,93,0
0,58,0,94
58,0,94,0
70,0,82,0
0,70,0,82
59,71,0,0
0,0,83,95
71,59,0,0
0,0,95,83
0,60,96,0
0,72,0,84
72,0,84,0
60,0,0,96
