task,PPnr,conjunction_single,Acc,RT
long_cue,R_08x3yfNtCFtgBYl,dual,0.9375,1873.1
long_cue,R_08x3yfNtCFtgBYl,sing,1,1887.0625
long_cue,R_0OmSAzFURsT3hND,dual,0.9375,731.9821428571429
long_cue,R_0OmSAzFURsT3hND,sing,1,1166.75
long_cue,R_10ZPMCCzcV8FG6A,dual,1,989.75
long_cue,R_10ZPMCCzcV8FG6A,sing,1,974.0625
long_cue,R_12s68Ligswec1t3,dual,0.9375,531.4910714285714
long_cue,R_12s68Ligswec1t3,sing,1,588.9375
long_cue,R_1BPAkPhD282eIwa,dual,1,841.5625
long_cue,R_1BPAkPhD282eIwa,sing,1,934.25
long_cue,R_1CDQa7qsN9RNzFH,dual,1,1132.375
long_cue,R_1CDQa7qsN9RNzFH,sing,1,1297.0625
long_cue,R_1CJcSTbRoTUCqgI,dual,1,1048.2410714285716
long_cue,R_1CJcSTbRoTUCqgI,sing,0.875,1145.142857142857
long_cue,R_1DuNzuDT2Ly6aYo,dual,1,1034.6875
long_cue,R_1DuNzuDT2Ly6aYo,sing,1,1022.5
long_cue,R_1Ej3yOyXSRu4rHj,dual,0.9375,468.57142857142856
long_cue,R_1Ej3yOyXSRu4rHj,sing,1,607.5625
long_cue,R_1HkLtKPGeWEXFwg,dual,1,828.375
long_cue,R_1HkLtKPGeWEXFwg,sing,1,1091.6875
long_cue,R_1HpZbLVjg7CUvTk,dual,0.9375,937.7321428571429
long_cue,R_1HpZbLVjg7CUvTk,sing,0.8125,1026.95
long_cue,R_1IR8kofj9wFWdIF,dual,1,1308.375
long_cue,R_1IR8kofj9wFWdIF,sing,0.9375,1408.85
long_cue,R_1ISOn43feC1HgrC,dual,0.875,1149.2857142857142
long_cue,R_1ISOn43feC1HgrC,sing,0.9375,1052.6517857142858
long_cue,R_1IXVr7a4rbLclDy,dual,1,1272.8333333333335
long_cue,R_1IXVr7a4rbLclDy,sing,0.875,1372.6190476190477
long_cue,R_1IfTVw1P9JXGPqL,dual,1,878.5
long_cue,R_1IfTVw1P9JXGPqL,sing,1,814.3125
long_cue,R_1K3eLYRF0WM0F1x,dual,1,1216.9375
long_cue,R_1K3eLYRF0WM0F1x,sing,1,1630.0625
long_cue,R_1K6KGucq5uhaFzv,dual,1,1662.6875
long_cue,R_1K6KGucq5uhaFzv,sing,0.9375,1404.75
long_cue,R_1K71a7Ou0dd9RDl,dual,0.9375,943.5535714285714
long_cue,R_1K71a7Ou0dd9RDl,sing,1,1191.3125
long_cue,R_1KqDdYqdsxJyWIf,dual,1,692.9375
long_cue,R_1KqDdYqdsxJyWIf,sing,0.9375,790.375
long_cue,R_1LXmTvk5iLuGEaA,dual,1,671.625
long_cue,R_1LXmTvk5iLuGEaA,sing,0.9375,739.9166666666667
long_cue,R_1OVnUIQoDvuoLoa,dual,1,1030.25
long_cue,R_1OVnUIQoDvuoLoa,sing,0.9375,1473.8660714285716
long_cue,R_1OkOyQCupky29ws,dual,0.9375,784.9404761904761
long_cue,R_1OkOyQCupky29ws,sing,0.875,773.5625
long_cue,R_1PXVhaM73VwX7i7,dual,1,443.375
long_cue,R_1PXVhaM73VwX7i7,sing,1,463.3125
long_cue,R_1PemspRhIIq93Jq,dual,1,1577.7857142857142
long_cue,R_1PemspRhIIq93Jq,sing,0.875,1634.8
long_cue,R_1QDSGYxg9iGBQ1N,dual,0.9375,1142.982142857143
long_cue,R_1QDSGYxg9iGBQ1N,sing,1,1133.375
long_cue,R_1XqCDwzg1i2Esxj,dual,1,1015.375
long_cue,R_1XqCDwzg1i2Esxj,sing,0.875,1443.0833333333333
long_cue,R_1cUmxE0nB0eQ5tx,dual,1,1024.875
long_cue,R_1cUmxE0nB0eQ5tx,sing,1,1064.0625
long_cue,R_1cUnP5PoHL3kGw8,dual,1,1126.875
long_cue,R_1cUnP5PoHL3kGw8,sing,0.875,1184.4285714285713
long_cue,R_1cZYqPuI2ovCe8d,dual,0.875,611.0208333333333
