task,PPnr,RT_dual,RT_sing,Acc_dual,Acc_sing
long_cue,R_08x3yfNtCFtgBYl,1873.1,1887.0625,0.9375,1
long_cue,R_0OmSAzFURsT3hND,731.9821428571429,1166.75,0.9375,1
long_cue,R_10ZPMCCzcV8FG6A,989.75,974.0625,1,1
long_cue,R_12s68Ligswec1t3,531.4910714285714,588.9375,0.9375,1
long_cue,R_1BPAkPhD282eIwa,841.5625,934.25,1,1
long_cue,R_1CDQa7qsN9RNzFH,1132.375,1297.0625,1,1
long_cue,R_1CJcSTbRoTUCqgI,1048.2410714285716,1145.142857142857,1,0.875
long_cue,R_1DuNzuDT2Ly6aYo,1034.6875,1022.5,1,1
long_cue,R_1Ej3yOyXSRu4rHj,468.57142857142856,607.5625,0.9375,1
long_cue,R_1HkLtKPGeWEXFwg,828.375,1091.6875,1,1
long_cue,R_1HpZbLVjg7CUvTk,937.7321428571429,1026.95,0.9375,0.8125
long_cue,R_1IR8kofj9wFWdIF,1308.375,1408.85,1,0.9375
long_cue,R_1ISOn43feC1HgrC,1149.2857142857142,1052.6517857142858,0.875,0.9375
long_cue,R_1IXVr7a4rbLclDy,1272.8333333333335,1372.6190476190477,1,0.875
long_cue,R_1IfTVw1P9JXGPqL,878.5,814.3125,1,1
long_cue,R_1K3eLYRF0WM0F1x,1216.9375,1630.0625,1,1
long_cue,R_1K6KGucq5uhaFzv,1662.6875,1404.75,1,0.9375
long_cue,R_1K71a7Ou0dd9RDl,943.5535714285714,1191.3125,0.9375,1
long_cue,R_1KqDdYqdsxJyWIf,692.9375,790.375,1,0.9375
long_cue,R_1LXmTvk5iLuGEaA,671.625,739.9166666666667,1,0.9375
long_cue,R_1OVnUIQoDvuoLoa,1030.25,1473.8660714285716,1,0.9375
long_cue,R_1OkOyQCupky29ws,784.9404761904761,773.5625,0.9375,0.875
long_cue,R_1PXVhaM73VwX7i7,443.375,463.3125,1,1
long_cue,R_1PemspRhIIq93Jq,1577.7857142857142,1634.8,1,0.875
long_cue,R_1QDSGYxg9iGBQ1N,1142.982142857143,1133.375,0.9375,1
long_cue,R_1XqCDwzg1i2Esxj,1015.375,1443.0833333333333,1,0.875
long_cue,R_1cUmxE0nB0eQ5tx,1024.875,1064.0625,1,1
long_cue,R_1cUnP5PoHL3kGw8,1126.875,1184.4285714285713,1,0.875
long_cue,R_1cZYqPuI2ovCe8d,611.0208333333333,1403.5714285714284,0.875,1
long_cue,R_1eK9C4dUWMG5UoE,555.9375,625.5625,1,1
long_cue,R_1erta2V92H4drrE,1214.5714285714284,1746.875,0.9375,0.625
long_cue,R_1ex76BKICzdLpi3,864.125,1125.1875,1,1
long_cue,R_1flJVVkbxzk1i5c,525.625,754.8125,1,1
long_cue,R_1g6KjG4gA3vEJF7,1093.607142857143,920.75,0.9375,1
long_cue,R_1gHKNsWNE1ugMUa,1132,1378.5625,1,0.875
long_cue,R_1hzkst2wvP8JIH4,750.0625,630.0833333333333,1,0.875
long_cue,R_1imoeufCHjjazMW,716.875,777.1875,1,1
long_cue,R_1jCgwQdSLoXJHUV,1418.8125,1114,1,1
long_cue,R_1jDKVL7IiGl9Yg2,1359.0535714285716,1416.9166666666665,1,0.8125
long_cue,R_1jE8xih7Lg9IirX,476.25,505.86607142857144,1,0.9375
long_cue,R_1jH3pdKIvdSHNIY,663.75,754.9910714285714,0.9375,0.9375
long_cue,R_1jrzi2l761541zF,657.125,742.7857142857142,1,0.875
long_cue,R_1lzzukvJq3atYiQ,652.875,626.75,1,0.75
long_cue,R_1mC4cBupoC4tHV4,732.375,856.625,1,1
long_cue,R_1mIULYprIrOv92G,578.0625,737.4553571428571,1,0.9375
long_cue,R_1mmFOe3uknXraci,1142.9375,1395.8333333333333,1,0.9375
long_cue,R_1nOO1BGaTXG8VNZ,1217.5625,986.9017857142858,0.9375,0.9375
long_cue,R_1nOQ0qbgqQcSRz6,848.875,879.375,1,1
long_cue,R_1pMrEEZMbPml0WU,663.6428571428571,761.0625,0.9375,1
long_cue,R_1pukYYnbpsfMrZv,716.4553571428571,690.75,1,1
long_cue,R_1qXpoOypYbjTRWl,1654.0714285714287,1874.6666666666665,1,1
long_cue,R_1rla5wg2eJeofgU,718.625,665.3125,0.9375,1
long_cue,R_1rvojTzRtsDhwWZ,448.3125,561.9375,1,1
long_cue,R_20Mv4w5vYeNCTls,780.0089285714286,897.25,0.9375,1
long_cue,R_23TwjQv7jVMZAHh,1502.1517857142858,1510.3125,0.9375,1
long_cue,R_24HieJfWwUqqVSw,1293.7857142857142,1077.4285714285716,0.9375,0.75
long_cue,R_24jTtLg98nGv99c,665.375,568.75,1,1
long_cue,R_25BzCJwLFrqdpOi,1569,2602,0.5,0.4375
long_cue,R_27EkFokF3zDCAFg,666.9375,786.8392857142858,1,0.9375
long_cue,R_27HkygMlXuzFDss,1237.2232142857142,1355.1875,1,0.875
long_cue,R_28B8ByTcmPbYYBi,902.1875,817.1875,1,1
long_cue,R_290a4seCfd02VPe,805.375,853.3125,1,1
long_cue,R_29buJYsXisup2Mb,1625.9142857142856,1804.4,0.9375,0.75
long_cue,R_2AZHWSSUZ7gAeVu,1689.5,1704.3,1,0.9375
long_cue,R_2BnRYuqRU9MgxDH,889.4553571428571,889.5625,0.9375,1
long_cue,R_2BtIrCsNLg3M5Hv,1026.6517857142858,1129.732142857143,0.9375,0.9375
long_cue,R_2CDt4ymTrZ6kFn0,1924.607142857143,2147.479166666667,0.9375,0.9375
long_cue,R_2P1NXSwrNBPPbSy,1320.875,1312.267857142857,1,0.9375
long_cue,R_2P5OftLBu8Xnm63,685.5625,800.5357142857142,1,1
long_cue,R_2QggTeu9uNjR2Kz,1467.3571428571427,1745.6160714285716,0.9375,1
long_cue,R_2Qn8nKQlmurWj6x,1314.017857142857,1422.75,0.75,0.75
long_cue,R_2R81qJfBkmFANkJ,959.0833333333333,1437.6607142857142,0.875,0.9375
long_cue,R_2TvjCe31vsmiZgF,729.5625,894.5714285714286,1,0.875
long_cue,R_2UYj6qVJqb6JhXS,836.0446428571429,917.7619047619048,1,0.8125
long_cue,R_2Y5SgzE2hzm4IzP,1367,1229.8809523809523,1,0.8125
long_cue,R_2aDYCLDeHnDcoTK,659.5625,725.2053571428571,1,0.9375
long_cue,R_2c6m9mRMP3vRtxF,819.125,1199.044642857143,1,0.9375
long_cue,R_2cc7FPRMpuGx2CV,485.7053571428571,822.6517857142858,0.9375,0.9375
long_cue,R_2cnGgIRvbYUU2JM,948.9375,1053.25,1,1
long_cue,R_2cvhE0HTQ1JO49j,1434.75,1142.7857142857142,1,0.9375
long_cue,R_2dYKuSke1t2VOfa,645.75,685.6875,1,1
long_cue,R_2f6VCNeHmcSqTrE,666.1875,551.7142857142857,1,0.875
long_cue,R_2fD1bJjW95gw3LB,1163.1666666666665,945.375,1,1
long_cue,R_2pJiC30bA23mBP9,838.25,976.1875,1,1
long_cue,R_2qxGC4cTbe7xhyS,575.7142857142858,741.5625,0.9375,1
long_cue,R_2rVd3Udq0Naa4tm,990.25,813.3392857142858,1,0.9375
long_cue,R_2s5BrOZwyfMmXNT,812.2232142857142,994.3303571428571,0.9375,0.9375
long_cue,R_2sZwXaQWcDrXX4J,592.4375,644.1875,1,1
long_cue,R_2saKX0rCpQMSpWC,811.9375,705.5,1,1
long_cue,R_2t2RITW5Msrt0v1,709.875,1065.6875,1,0.9375
long_cue,R_2t8PKxoTop4myWX,942.5625,1210.5535714285716,1,1
long_cue,R_2tzNr5GcFWibgNj,1046.642857142857,1222.7857142857142,0.875,0.9375
long_cue,R_2uEyL6gg252E1VJ,888.0089285714286,945.1160714285714,1,0.9375
long_cue,R_2uPd3IAgL1aElYJ,678,729,1,0.625
long_cue,R_2uaROXK2JM6R5KN,583.1875,777.9375,1,1
long_cue,R_2v1EkCyV15Ok7D5,555.6875,655.0625,1,1
long_cue,R_2v6M4LykwnHQpey,675.5,730.75,1,1
long_cue,R_2wgkGKCmXhgbs6f,689.6666666666667,913.0625,0.8125,1
long_cue,R_2whKJfx0Nt043dd,476.5625,497.9375,1,1
long_cue,R_2xIZjV9sIl4RF6P,1109.5535714285716,1205.5,0.9375,1
long_cue,R_2xxfsrIN77B2IyP,1491.2142857142858,1766.1041666666665,0.9375,1
long_cue,R_2zMG3pjpYVG6q9D,1439.5833333333333,1710.0714285714284,0.9375,1
long_cue,R_2zZOxm6mvhN3djv,486.375,565.3125,1,1
long_cue,R_31HQAyCP0raT1FV,483.1875,538.6964285714286,1,0.9375
long_cue,R_32Ph5gf2egyE3BQ,841.875,981.25,0.9375,1
long_cue,R_32SfLOnCsAkGpkr,713.9375,953.9285714285713,1,0.875
long_cue,R_389Zio7QxIjX2Gl,1596.4375,1482.625,1,0.9375
long_cue,R_3CE2psUILAye8Gw,1681.1041666666665,1545.0535714285716,1,1
long_cue,R_3CQ5KT4CZBYWAlC,613.375,771.4196428571429,1,0.9375
long_cue,R_3EnIpSKfpoFxj4q,1113.5625,1678.9666666666667,0.875,0.8125
long_cue,R_3F4Nuu63mcg282m,1287.1142857142856,1213.5208333333335,0.875,0.9375
long_cue,R_3I6Ku341O3voRKF,1444.3125,1642.2380952380952,1,0.875
long_cue,R_3IawjgtbqJ8vZS1,695.9375,899.6875,1,1
long_cue,R_3IbLExNViiL7Wmj,1961,1239.7666666666667,0.75,0.8125
long_cue,R_3J5dZzQpHZlbptE,1070.2857142857142,1339.5,0.9375,0.625
long_cue,R_3J7WamqLp1arSYg,834.0625,902.875,1,0.9375
long_cue,R_3J8imcd2CT8E7nV,731.9375,973.4642857142857,1,1
long_cue,R_3JKuKZTaXlZlS9L,1017.6666666666667,1106.0125,0.875,1
long_cue,R_3JepjzwRIn4QNMa,1179.2142857142858,1618.8333333333335,0.875,0.9375
long_cue,R_3L0GKcwhfD3ONGp,644.5625,818.1875,1,1
long_cue,R_3L8bKSLPWWYQbb1,955.125,998,1,1
long_cue,R_3LYmXrQqAEkquZp,656.9375,988.702380952381,1,0.875
long_cue,R_3MrsBALpPMDdc4K,1809.125,1676.75,0.9375,0.9375
long_cue,R_3MsZ1FtrecdI6Bk,1018.9375,957.25,1,1
long_cue,R_3NLrAGnHeCcusnN,925.0892857142858,1155.544642857143,0.9375,1
long_cue,R_3OijgTkqK3N1vDR,829.5,1288.6517857142858,1,1
long_cue,R_3PH8KwGY7M572k7,1243.452380952381,1163.2410714285716,0.8125,1
long_cue,R_3PHnuh1NwQxBUke,776.3125,1049.875,1,1
long_cue,R_3PUkBY8ioPt2QHk,836.25,882.0625,1,1
long_cue,R_3PhNSDcozSxV4x6,552.875,487.25892857142856,1,0.9375
long_cue,R_3PoF0xbH4zPk6H9,839.6696428571429,872.125,1,1
long_cue,R_3R2V7o3AKvD3riN,1127.857142857143,1043.5,0.9375,1
long_cue,R_3dG1KAXAFwYYSNa,1196.455357142857,1310.2857142857142,0.9375,0.875
long_cue,R_3dYB6FtZaYKmnQI,798.5625,736.5,0.9375,1
