subj,task,feature,match,RT_dual,RT_sing
R_08x3yfNtCFtgBYl,no_gap,conj,m,1.873,1.801
R_08x3yfNtCFtgBYl,no_gap,conj,mm,1.873,1.974
R_0OmSAzFURsT3hND,no_gap,conj,m,0.727,1.036
R_0OmSAzFURsT3hND,no_gap,conj,mm,0.737,1.298
R_302H874OqnSbmug,gap,conj,m,0.681,0.613
R_302H874OqnSbmug,gap,conj,mm,1.274,0.88
R_3061vbhI41l7m5V,gap,conj,mm,0.898,0.768
R_3061vbhI41l7m5V,gap,conj,m,0.97,0.808
R_31HQAyCP0raT1FV,no_gap,conj,m,0.442,0.526
R_31HQAyCP0raT1FV,no_gap,conj,mm,0.524,0.551
R_31zRT6XRWDLt6XR,gap,conj,m,0.764,0.862
R_31zRT6XRWDLt6XR,gap,conj,mm,0.965,0.995
R_325E8Zcstn7PYYf,gap,conj,mm,0.904,0.794
R_325E8Zcstn7PYYf,gap,conj,m,0.965,1.056
R_32Ph5gf2egyE3BQ,no_gap,conj,m,0.716,0.894
R_32Ph5gf2egyE3BQ,no_gap,conj,mm,0.968,1.068
R_32SfLOnCsAkGpkr,no_gap,conj,m,0.661,0.801
R_32SfLOnCsAkGpkr,no_gap,conj,mm,0.767,1.107
R_32X7zIltyrBl2XJ,gap,conj,m,1.199,0.893
R_32X7zIltyrBl2XJ,gap,conj,mm,1.237,1.169
R_33gvmuPR94pwSQR,gap,conj,mm,1.092,0.986
R_33gvmuPR94pwSQR,gap,conj,m,1.297,1.661
R_33wriurPRqAICJQ,gap,conj,mm,0.743,0.891
R_33wriurPRqAICJQ,gap,conj,m,0.852,1.33
R_389Zio7QxIjX2Gl,no_gap,conj,mm,1.567,1.423
R_389Zio7QxIjX2Gl,no_gap,conj,m,1.626,1.542
R_3CE2psUILAye8Gw,no_gap,conj,m,1.438,1.526
R_3CE2psUILAye8Gw,no_gap,conj,mm,1.924,1.564
R_3CH6GYzeXMmQ3BR,gap,conj,mm,0.58,0.821
