"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"162171","2022/09/19 11:39:50","2022/09/19 11:43:57","00:05:53","Prolfic","157063","General Multiple","FINISHED","none"
"162160","2022/09/19 11:23:39","2022/09/19 11:29:43","00:07:13","Prolfic","157053","General Multiple","FINISHED","none"
"162157","2022/09/19 10:58:58","2022/09/19 11:03:03","00:05:54","Prolfic","157051","General Multiple","FINISHED","none"
"162124","2022/09/19 09:58:55","2022/09/19 10:02:59","00:05:48","Prolfic","157020","General Multiple","FINISHED","none"
"162112","2022/09/19 09:37:11","2022/09/19 09:41:15","00:06:00","Prolfic","157018","General Multiple","FAIL","Experiment aborted by user"
"162109","2022/09/19 09:28:38","2022/09/19 09:34:42","00:06:13","Prolfic","157017","General Multiple","FINISHED","none"
"162101","2022/09/19 09:17:34","2022/09/19 09:21:37","00:05:39","Prolfic","157013","General Multiple","FINISHED","none"
"162091","2022/09/19 09:14:29","2022/09/19 09:22:36","00:09:01","Prolfic","156998","General Multiple","FINISHED","none"
"162060","2022/09/19 09:05:18","2022/09/19 09:15:56","06:38:33","Prolfic","156997","General Multiple","FAIL","It's not allowed to reload this component (ID: 9023). Study (ID: 6709) is finished."
"162044","2022/09/19 09:03:11","2022/09/19 09:13:17","00:10:24","Prolfic","156988","General Multiple","FINISHED","none"
"161889","2022/09/19 08:48:46","2022/09/19 08:48:49","00:00:07","Prolfic","156949","General Multiple","FAIL","Errors occurred. See log for details."
"161834","2022/09/19 08:45:47","2022/09/19 08:45:50","00:00:16","Prolfic","156943","General Multiple","FAIL","Errors occurred. See log for details."
"161761","2022/09/19 08:42:41","2022/09/19 09:02:57","00:20:35","Prolfic","156942","General Multiple","FINISHED","none"
