subj,task,feature,match,accuracy,RT
1,no_gap,conj,m,1,0.803
1,no_gap,conj,mm,0.875,0.757
1,no_gap,sing,m,1,0.884
1,no_gap,sing,mm,1,0.911
2,no_gap,conj,m,1,1.186
2,no_gap,conj,mm,1,0.793
2,no_gap,sing,m,1,1.208
2,no_gap,sing,mm,1,0.741
3,gap,conj,m,1,0.478
3,gap,conj,mm,1,0.549
3,gap,sing,m,1,0.551
3,gap,sing,mm,1,0.886
4,gap,conj,m,0.875,0.601
4,gap,conj,mm,1,0.665
4,gap,sing,m,1,0.738
4,gap,sing,mm,1,0.922
5,gap,conj,m,1,0.575
5,gap,conj,mm,1,0.725
5,gap,sing,m,0.875,0.722
5,gap,sing,mm,1,1.081
6,gap,conj,m,1,0.503
6,gap,conj,mm,1,0.624
6,gap,sing,m,1,0.523
6,gap,sing,mm,1,0.827
7,gap,conj,m,0.875,0.836
7,gap,conj,mm,0.875,0.835
7,gap,sing,m,1,0.91
7,gap,sing,mm,0.75,1.559
8,no_gap,conj,m,0.875,0.521
8,no_gap,conj,mm,1,0.542
8,no_gap,sing,m,1,0.627
8,no_gap,sing,mm,1,0.551
9,gap,conj,m,0.875,1.042
9,gap,conj,mm,1,1.403
9,gap,sing,m,1,1.515
9,gap,sing,mm,0.875,1.393
10,no_gap,conj,m,0.875,1.539
10,no_gap,conj,mm,1,1.465
10,no_gap,sing,m,1,1.535
10,no_gap,sing,mm,1,1.486
11,gap,conj,m,0.875,0.744
11,gap,conj,mm,1,0.729
11,gap,sing,m,1,0.623
11,gap,sing,mm,0.875,0.647
12,gap,conj,m,1,1.215
12,gap,conj,mm,0.875,1.108
12,gap,sing,m,0.875,0.838
12,gap,sing,mm,1,1.167
13,no_gap,conj,m,0.875,1.239
13,no_gap,conj,mm,1,1.348
13,no_gap,sing,m,0.625,1.096
13,no_gap,sing,mm,0.875,1.059
14,gap,conj,m,1,1.13
14,gap,conj,mm,1,0.906
14,gap,sing,m,0.875,1.027
14,gap,sing,mm,0.875,1.333
15,gap,conj,m,0.875,0.616
15,gap,conj,mm,1,0.647
15,gap,sing,m,1,0.689
15,gap,sing,mm,1,0.63
16,no_gap,conj,m,1,0.669
16,no_gap,conj,mm,1,0.662
16,no_gap,sing,m,1,0.537
16,no_gap,sing,mm,1,0.601
17,no_gap,conj,m,1,1.569
17,no_gap,conj,mm,0,2.602
17,no_gap,sing,m,0.625,0.747
17,no_gap,sing,mm,0.25,0.633
18,gap,conj,m,0.875,0.731
18,gap,conj,mm,0.875,0.791
18,gap,sing,m,0.875,0.642
18,gap,sing,mm,0.875,0.692
19,no_gap,conj,m,1,0.761
19,no_gap,conj,mm,1,0.812
19,no_gap,sing,m,1,1.382
19,no_gap,sing,mm,0.875,1.093
20,no_gap,conj,m,1,1.129
20,no_gap,conj,mm,1,1.582
20,no_gap,sing,m,0.75,0.694
20,no_gap,sing,mm,1,0.729
21,gap,conj,m,0.875,0.78
21,gap,conj,mm,0.875,0.769
21,gap,sing,m,1,0.984
21,gap,sing,mm,1,1.238
22,gap,conj,m,0.8,1.548
22,gap,conj,mm,0.8,1.298
