"","task","ID","features","RT","sing_RT"
"1","no_gap","R_08x3yfNtCFtgBYl","conj",1873.1,1874.71428571429
"2","no_gap","R_0OmSAzFURsT3hND","conj",731.666666666667,1166.75
"3","no_gap","R_10ZPMCCzcV8FG6A","conj",989.75,974.0625
"4","no_gap","R_12s68Ligswec1t3","conj",532.2,588.9375
"5","no_gap","R_1BPAkPhD282eIwa","conj",841.5625,934.25
"6","no_gap","R_1CDQa7qsN9RNzFH","conj",1132.375,1297.0625
"7","no_gap","R_1CJcSTbRoTUCqgI","conj",1052.73333333333,1145.14285714286
"8","no_gap","R_1cUmxE0nB0eQ5tx","conj",1024.875,1064.0625
"9","no_gap","R_1cUnP5PoHL3kGw8","conj",1126.875,1184.42857142857
"10","no_gap","R_1cZYqPuI2ovCe8d","conj",617.142857142857,1403.57142857143
"11","no_gap","R_1DuNzuDT2Ly6aYo","conj",1034.6875,1022.5
"12","no_gap","R_1Ej3yOyXSRu4rHj","conj",466.666666666667,607.5625
"13","no_gap","R_1eK9C4dUWMG5UoE","conj",555.9375,625.5625
"14","no_gap","R_1erta2V92H4drrE","conj",1207.07692307692,1665.5
"15","no_gap","R_1ex76BKICzdLpi3","conj",864.125,1125.1875
"16","no_gap","R_1flJVVkbxzk1i5c","conj",525.625,754.8125
"17","no_gap","R_1g6KjG4gA3vEJF7","conj",1082.66666666667,920.75
"18","no_gap","R_1gHKNsWNE1ugMUa","conj",1132,1385.42857142857
"19","no_gap","R_1HkLtKPGeWEXFwg","conj",828.375,1091.6875
"20","no_gap","R_1HpZbLVjg7CUvTk","conj",938,1021.45454545455
"21","no_gap","R_1hzkst2wvP8JIH4","conj",750.0625,632.5
"22","no_gap","R_1IfTVw1P9JXGPqL","conj",878.5,814.3125
"23","no_gap","R_1imoeufCHjjazMW","conj",716.875,777.1875
"24","no_gap","R_1IR8kofj9wFWdIF","conj",1308.375,1409.92307692308
"25","no_gap","R_1ISOn43feC1HgrC","conj",1164,1060.33333333333
"26","no_gap","R_1IXVr7a4rbLclDy","conj",1285.92307692308,1355.38461538462
"27","no_gap","R_1jCgwQdSLoXJHUV","conj",1418.8125,1114
"28","no_gap","R_1jDKVL7IiGl9Yg2","conj",1364.13333333333,1416.91666666667
"29","no_gap","R_1jE8xih7Lg9IirX","conj",476.25,503.6
"30","no_gap","R_1jH3pdKIvdSHNIY","conj",668.466666666667,756.666666666667
"31","no_gap","R_1jrzi2l761541zF","conj",657.125,742.785714285714
"32","no_gap","R_1K3eLYRF0WM0F1x","conj",1216.9375,1630.0625
"33","no_gap","R_1K6KGucq5uhaFzv","conj",1662.6875,1399.61538461538
"34","no_gap","R_1K71a7Ou0dd9RDl","conj",944.6,1191.3125
"35","no_gap","R_1KqDdYqdsxJyWIf","conj",692.9375,794.066666666667
"36","no_gap","R_1LXmTvk5iLuGEaA","conj",671.625,744.285714285714
"37","no_gap","R_1lzzukvJq3atYiQ","conj",652.875,626.75
"38","no_gap","R_1mC4cBupoC4tHV4","conj",732.375,856.625
"39","no_gap","R_1mIULYprIrOv92G","conj",578.0625,737.066666666667
"40","no_gap","R_1mmFOe3uknXraci","conj",1142.9375,1426.5
"41","no_gap","R_1nOO1BGaTXG8VNZ","conj",1172,999.133333333333
"42","no_gap","R_1nOQ0qbgqQcSRz6","conj",848.875,879.375
"43","no_gap","R_1OkOyQCupky29ws","conj",774.230769230769,758.071428571429
"44","no_gap","R_1OVnUIQoDvuoLoa","conj",1030.25,1469.6
"45","no_gap","R_1PemspRhIIq93Jq","conj",1577.78571428571,1639.45454545455
"46","no_gap","R_1pMrEEZMbPml0WU","conj",667.266666666667,761.0625
"47","no_gap","R_1pukYYnbpsfMrZv","conj",716.866666666667,690.75
"48","no_gap","R_1PXVhaM73VwX7i7","conj",443.375,463.3125
"49","no_gap","R_1QDSGYxg9iGBQ1N","conj",1148.06666666667,1133.375
"50","no_gap","R_1qXpoOypYbjTRWl","conj",1626,1874.66666666667
"51","no_gap","R_1rla5wg2eJeofgU","conj",719,665.3125
"52","no_gap","R_1rvojTzRtsDhwWZ","conj",448.3125,561.9375
"53","no_gap","R_1XqCDwzg1i2Esxj","conj",1015.375,1443.08333333333
"54","no_gap","R_20Mv4w5vYeNCTls","conj",781.533333333333,897.25
"55","no_gap","R_23TwjQv7jVMZAHh","conj",1499.66666666667,1510.3125
"56","no_gap","R_24HieJfWwUqqVSw","conj",1293.78571428571,1074.33333333333
"57","no_gap","R_24jTtLg98nGv99c","conj",665.375,568.75
"58","no_gap","R_25BzCJwLFrqdpOi","conj",1569,2602
"59","no_gap","R_27EkFokF3zDCAFg","conj",666.9375,785.133333333333
