task,PPnr,conjunction_single,match_mismatch,trial,acc_conj,RT_conj,acc_sing,RT_sing
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_gd_m_1,1,5.812,1,1.589
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_gd_m_2,1,1.521,1,2.234
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_gs_m_1,1,3.264,1,1.546
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_gs_m_2,1,1.538,1,1.557
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_rd_m_1,1,4.61,1,1.673
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_rd_m_2,1,2.024,1,1.649
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_rs_m_1,1,2.727,1,1.629
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_rs_m_2,1,1.555,1,2.528
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_gd_mm_1,1,2.504,1,2.42
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_gd_mm_2,0,1.477,1,4.708
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_gs_mm_1,1,3.424,1,1.689
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_gs_mm_2,1,4.29,1,1.788
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_rd_mm_1,1,2.031,1,3.509
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_rd_mm_2,1,1.553,1,2.075
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_rs_mm_1,1,1.715,1,2.34
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_rs_mm_2,1,1.563,1,1.529
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_gd_m_1,1,0.984,1,0.946
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_gd_m_2,1,0.518,1,1.181
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_gs_m_1,1,0.891,1,0.818
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_gs_m_2,1,0.482,1,0.857
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_rd_m_1,1,0.814,1,0.752
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_rd_m_2,1,0.749,1,1.221
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_rs_m_1,1,0.783,1,1.472
no_gap,R_0OmSAzFURsT3hND,conj,m,sim_conj_rs_m_2,1,0.597,1,1.039
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_gd_mm_1,1,0.559,1,1.695
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_gd_mm_2,0,0.665,1,1.58
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_gs_mm_1,1,1.159,1,1.908
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_gs_mm_2,1,0.763,1,0.952
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_rd_mm_1,1,0.749,1,0.962
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_rd_mm_2,1,0.854,1,1.261
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_rs_mm_1,1,0.535,1,0.892
no_gap,R_0OmSAzFURsT3hND,conj,mm,sim_conj_rs_mm_2,1,0.538,1,1.132
no_gap,R_10ZPMCCzcV8FG6A,conj,m,sim_conj_gd_m_1,1,1.408,1,0.914
