task,PPnr,conjunction_single,match_mismatch,trial,accuracy,reaction_time
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,5.812
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,1.521
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,2.504
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,0,1.477
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,3.264
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,1.538
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,3.424
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,4.29
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,4.61
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,2.024
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,2.031
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,1.553
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,2.727
no_gap,R_08x3yfNtCFtgBYl,conj,m,sim_conj_m,1,1.555
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,1.715
no_gap,R_08x3yfNtCFtgBYl,conj,mm,sim_conj_mm,1,1.563
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,1.589
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,2.234
no_gap,R_08x3yfNtCFtgBYl,sing,mm,sim_sing_mm,1,2.42
no_gap,R_08x3yfNtCFtgBYl,sing,mm,sim_sing_mm,1,4.708
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,1.546
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,1.557
no_gap,R_08x3yfNtCFtgBYl,sing,mm,sim_sing_mm,1,1.689
no_gap,R_08x3yfNtCFtgBYl,sing,mm,sim_sing_mm,1,1.788
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,1.673
no_gap,R_08x3yfNtCFtgBYl,sing,m,sim_sing_m,1,1.649
no_gap,R_08x3yfNtCFtgBYl,sing,mm,sim_sing_mm,1,3.509
