"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"165739","2022/10/03 13:52:45","2022/10/03 13:58:50","00:06:27","Prolific","160512","General Multiple","FINISHED","none"
"165736","2022/10/03 13:35:16","2022/10/03 13:41:21","00:06:26","Prolific","160509","General Multiple","FINISHED","none"
"165720","2022/10/03 13:08:26","2022/10/03 13:12:30","00:05:05","Prolific","160498","General Multiple","FINISHED","none"
"165717","2022/10/03 12:51:46","2022/10/03 12:55:49","00:05:06","Prolific","160495","General Multiple","FINISHED","none"
"165716","2022/10/03 12:49:36","2022/10/03 12:53:40","00:05:47","Prolific","160494","General Multiple","FINISHED","none"
"165714","2022/10/03 12:37:01","2022/10/03 12:41:07","00:05:42","Prolific","160492","General Multiple","FINISHED","none"
"165702","2022/10/03 11:37:38","2022/10/03 11:41:41","00:05:18","Prolific","160481","General Multiple","FINISHED","none"
"165699","2022/10/03 11:03:14","2022/10/03 11:11:19","00:08:28","Prolific","160478","General Multiple","FINISHED","none"
"165696","2022/10/03 10:36:40","2022/10/03 10:42:49","00:07:01","Prolific","160476","General Multiple","FINISHED","none"
"165695","2022/10/03 10:27:40","2022/10/03 10:33:45","00:07:14","Prolific","160475","General Multiple","FINISHED","none"
