PPnr,task,acc_conj,acc_sing,RT_conj,RT_sing
R_08x3yfNtCFtgBYl,no_gap,0.9375,1,1.8731,1.8747142857142858
R_0OmSAzFURsT3hND,no_gap,0.9375,1,0.7316666666666667,1.16675
R_10ZPMCCzcV8FG6A,no_gap,1,1,0.98975,0.9740625
R_1240oKwSUYFSJUY,gap,1,1,0.5635625,0.675375
R_125qGAPsEKNgCik,gap,0.875,0.875,0.8354615384615385,1.1599230769230768
R_12s68Ligswec1t3,no_gap,0.9375,1,0.5322,0.5889375
R_1BPAkPhD282eIwa,no_gap,1,1,0.8415625,0.93425
R_1BYsxPc3DVzRRdc,gap,1,0.8125,1.174125,1.2096153846153845
R_1C4075atnBURXV9,gap,0.9375,1,0.7093333333333334,0.5969375
R_1Ca7oDDfGUuqpD2,gap,0.9375,0.875,0.9056,1.0209285714285714
R_1CDQa7qsN9RNzFH,no_gap,1,1,1.1323750000000001,1.2970625
R_1CJcSTbRoTUCqgI,no_gap,1,0.875,1.0527333333333333,1.145142857142857
R_1cUmxE0nB0eQ5tx,no_gap,1,1,1.024875,1.0640625
R_1cUnP5PoHL3kGw8,no_gap,1,0.875,1.126875,1.1844285714285714
R_1cZYqPuI2ovCe8d,no_gap,0.875,1,0.6171428571428571,1.4035714285714285
R_1DuNzuDT2Ly6aYo,no_gap,1,1,1.0346875,1.0225
R_1DUQTsUdLXCAotg,gap,0.9375,0.9375,0.7812666666666667,0.6898
R_1Ed18J86Ydnz5JK,gap,0.875,0.75,1.1475714285714287,0.8865833333333334
R_1Ej3yOyXSRu4rHj,no_gap,0.9375,1,0.4666666666666667,0.6075625
R_1eK9C4dUWMG5UoE,no_gap,1,1,0.5559375,0.6255625
R_1erta2V92H4drrE,no_gap,0.9375,0.625,1.2070769230769232,1.6655
R_1ex76BKICzdLpi3,no_gap,1,1,0.864125,1.1251875
R_1F3O1RwVVn1ANjS,gap,0.9375,0.9375,1.1496428571428572,0.6716666666666666
R_1fd9g37kVcLlQon,gap,0.9375,0.9375,0.8410666666666666,0.7754
R_1fjeMABd9YtFdM2,gap,1,0.75,0.9765625,0.8734166666666666
R_1FkyCxrQzCKlVM3,gap,0.875,0.9375,0.9542857142857143,0.9732666666666667
R_1flJVVkbxzk1i5c,no_gap,1,1,0.525625,0.7548125
R_1FlZaoI26lrL1xW,gap,0.875,0.9375,0.8207857142857143,0.6007333333333333
R_1FQy7LAFBlt3sbw,gap,0.9375,0.875,1.02,1.1357142857142857
R_1FzvTdctlBl6mau,gap,0.875,0.875,0.9829285714285715,1.1965714285714286
R_1g6KjG4gA3vEJF7,no_gap,0.9375,1,1.0826666666666667,0.92075
R_1GEw2ntVr6WT5FY,gap,1,0.9375,0.544875,0.8156666666666667
R_1gGFiI9dwPgNWnF,gap,0.8125,1,0.6539230769230769,0.816
R_1gHKNsWNE1ugMUa,no_gap,1,0.875,1.1320000000000001,1.3854285714285715
R_1gTnf5neAjKhFhT,gap,0.625,0.9375,1.215,1.0472
R_1H5WiYRCLXLoMr6,gap,1,1,0.9455,0.8758125
R_1hKL5I25Q84xW4U,gap,0.8125,1,2.113375,2.2495
R_1HkLtKPGeWEXFwg,no_gap,1,1,0.828375,1.0916875
R_1HpZbLVjg7CUvTk,no_gap,0.9375,0.8125,0.938,1.0214545454545454
R_1hXp8VCud7SMiKb,gap,0.9375,0.9375,0.6538666666666667,0.8409333333333333
R_1hzkst2wvP8JIH4,no_gap,1,0.875,0.7500625,0.6325
R_1IagvrDfWeu1SzI,gap,0.9375,0.9375,1.212,0.8180666666666667
R_1iffR2ZzRyikKgD,gap,0.875,0.9375,0.8048461538461539,0.6132
R_1IfTVw1P9JXGPqL,no_gap,1,1,0.8785,0.8143125
R_1imoeufCHjjazMW,no_gap,1,1,0.716875,0.7771875
R_1IR8kofj9wFWdIF,no_gap,1,0.9375,1.308375,1.4099230769230768
R_1ISOn43feC1HgrC,no_gap,0.875,0.9375,1.164,1.0603333333333333
R_1IXVr7a4rbLclDy,no_gap,1,0.875,1.285923076923077,1.3553846153846154
R_1jCgwQdSLoXJHUV,no_gap,1,1,1.4188125,1.1139999999999999
R_1jDKVL7IiGl9Yg2,no_gap,1,0.8125,1.3641333333333332,1.4169166666666666
R_1jE8xih7Lg9IirX,no_gap,1,0.9375,0.47625,0.5036
R_1jH3pdKIvdSHNIY,no_gap,0.9375,0.9375,0.6684666666666667,0.7566666666666666
R_1jrMskfuP7Mrr9S,gap,0.9375,0.9375,0.45126666666666665,0.6156
R_1jrzi2l761541zF,no_gap,1,0.875,0.657125,0.7427857142857143
R_1K2LTDdSTkk0CkO,gap,0.875,0.8125,0.8498571428571429,0.7163076923076923
R_1K3eLYRF0WM0F1x,no_gap,1,1,1.2169375,1.6300625
R_1K6KGucq5uhaFzv,no_gap,1,0.9375,1.6626875,1.3996153846153847
R_1K71a7Ou0dd9RDl,no_gap,0.9375,1,0.9446,1.1913125
R_1KkDDjZQonL8jXf,gap,0.9375,0.8125,1.2279285714285715,1.434076923076923
R_1KqDdYqdsxJyWIf,no_gap,1,0.9375,0.6929375,0.7940666666666667
R_1lo8TnSLVLCPrMI,gap,0.9375,0.75,1.0387333333333333,0.988
R_1LXmTvk5iLuGEaA,no_gap,1,0.9375,0.671625,0.7442857142857143
R_1lzzukvJq3atYiQ,no_gap,1,0.75,0.652875,0.62675
R_1mC4cBupoC4tHV4,no_gap,1,1,0.732375,0.856625
R_1mIULYprIrOv92G,no_gap,1,0.9375,0.5780625,0.7370666666666666
R_1mmFOe3uknXraci,no_gap,1,0.9375,1.1429375,1.4265
R_1Nex25Z07JEPqPT,gap,1,1,0.8942,0.84225
R_1nOO1BGaTXG8VNZ,no_gap,0.9375,0.9375,1.172,0.9991333333333333
R_1nOQ0qbgqQcSRz6,no_gap,1,1,0.848875,0.879375
R_1oAMtAsotlpba75,gap,1,1,0.791,0.5660625
R_1oBEFfxegvaFxqs,gap,0.9375,1,0.8256666666666667,0.9763125
R_1OE6gsnJdCYDJNp,gap,0.875,0.8125,1.328,1.2520909090909091
R_1OJJIMbAOHmEsc6,gap,0.875,0.9375,0.729,0.5775333333333333
R_1OkOyQCupky29ws,no_gap,0.9375,0.875,0.7742307692307693,0.7580714285714286
R_1onlnd0PSlmh0kP,gap,1,0.9375,0.9491333333333334,1.4951999999999999
R_1OVnUIQoDvuoLoa,no_gap,1,0.9375,1.03025,1.4696
R_1Oy5gti2oOMkrmx,gap,0.9375,1,1.2837857142857143,0.9990625
R_1PemspRhIIq93Jq,no_gap,1,0.875,1.5777857142857143,1.6394545454545455
R_1pJPjmN0ZA5yTy2,gap,0.9375,0.875,1.8288,1.3749285714285715
R_1pMrEEZMbPml0WU,no_gap,0.9375,1,0.6672666666666667,0.7610625
R_1ptx896QKfU4151,gap,0.75,0.9375,1.0369166666666667,0.9259999999999999
R_1pukYYnbpsfMrZv,no_gap,1,1,0.7168666666666667,0.69075
R_1PXVhaM73VwX7i7,no_gap,1,1,0.443375,0.4633125
R_1Q0nnQSbpfMIzl8,gap,0.75,0.8125,2.0564999999999998,1.7184615384615385
R_1QcQ8lM8sMgbe9Z,gap,1,1,0.5976875,0.770625
R_1QDSGYxg9iGBQ1N,no_gap,0.9375,1,1.1480666666666668,1.133375
R_1QhHQgn3oncjPVH,gap,1,1,0.6489375,0.5881875
R_1qXpoOypYbjTRWl,no_gap,1,1,1.626,1.8746666666666667
R_1r9CI6AFSBMawII,gap,0.875,0.75,0.6795,1.0444166666666668
R_1rla5wg2eJeofgU,no_gap,0.9375,1,0.719,0.6653125
R_1rvojTzRtsDhwWZ,no_gap,1,1,0.4483125,0.5619375
R_1XqCDwzg1i2Esxj,no_gap,1,0.875,1.015375,1.4430833333333333
R_20Mv4w5vYeNCTls,no_gap,0.9375,1,0.7815333333333333,0.89725
R_2107Kbqwjw5sjVi,gap,1,1,0.513375,0.7185625
R_21A0Opwy47DGP0D,gap,0.9375,1,0.635,0.8299375
R_21ixygMv7kGQldy,gap,1,0.9375,0.64975,0.9134666666666666
R_232mnWKrVorZxtV,gap,0.9375,0.9375,1.222357142857143,1.4580666666666666
R_23TwjQv7jVMZAHh,no_gap,0.9375,1,1.4996666666666667,1.5103125
R_23UGi46yIwlgRIg,gap,0.9375,0.9375,0.7356666666666667,0.6338
R_23V6KyyFTKNSfr0,gap,0.9375,0.9375,1.1738461538461538,1.0132666666666668
R_24f2Xj2zVejGVvr,gap,0.9375,1,0.6326666666666667,0.659625
R_24HieJfWwUqqVSw,no_gap,0.9375,0.75,1.2937857142857143,1.0743333333333334
R_24jTtLg98nGv99c,no_gap,1,1,0.665375,0.56875
R_24MjDzYaj8vSl2F,gap,1,0.875,1.018125,1.18
R_25BzCJwLFrqdpOi,no_gap,0.6666666666666666,0.4375,1.569,2.602
R_26aTxals5ya98Bn,gap,0.875,0.875,0.6899285714285714,0.761
R_27EkFokF3zDCAFg,no_gap,1,0.9375,0.6669375,0.7851333333333333
R_27HkygMlXuzFDss,no_gap,1,0.875,1.2276,1.3875714285714285
R_27I2lMBC4C9HqXh,gap,0.875,1,0.7116428571428571,0.7746875
R_27IKiFTRUeouja1,gap,0.8,0.8125,1.1115,1.394076923076923
R_27TjhkHUtsmEKXv,gap,0.75,0.9375,1.3028333333333333,1.3144
R_28B8ByTcmPbYYBi,no_gap,1,1,0.9021875,0.8171875
R_290a4seCfd02VPe,no_gap,1,1,0.805375,0.8533125
R_29buiFpEHzEyviM,gap,1,1,0.7039375,0.435
R_29buJYsXisup2Mb,no_gap,0.9375,0.75,1.556,1.8217142857142856
R_2aDYCLDeHnDcoTK,no_gap,1,0.9375,0.6595625,0.7253333333333334
R_2AGbTgxStxS8OK7,gap,0.9375,1,0.8359333333333333,0.8548125
R_2ASEGOsJ8SHSVr5,gap,0.9375,1,1.1227333333333334,0.95875
R_2AZHWSSUZ7gAeVu,no_gap,1,0.9375,1.6895,1.639846153846154
R_2bHPDYy6X92e2YW,gap,1,0.9375,0.82525,0.6145333333333334
R_2BnRYuqRU9MgxDH,no_gap,0.9375,1,0.8864,0.8895625
R_2BtIrCsNLg3M5Hv,no_gap,0.9375,0.9375,1.0243333333333333,1.1335333333333333
R_2Bu63NcF98ifXiE,gap,1,0.9375,0.7399375,0.6339333333333333
R_2c6m9mRMP3vRtxF,no_gap,1,0.9375,0.819125,1.1824666666666668
