"Task","PPnr","Trial Type","Target Type","trial","accuracy","reaction_time"
"short cue","R_08x3yfNtCFtgBYl","dual feature","Match","sim_conj_gd_m_2",1,1.521
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_gd_mm_1",1,2.504
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_gd_mm_2",0,1.477
"short cue","R_08x3yfNtCFtgBYl","dual feature","Match","sim_conj_gs_m_2",1,1.538
"short cue","R_08x3yfNtCFtgBYl","dual feature","Match","sim_conj_rd_m_2",1,2.024
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_rd_mm_1",1,2.031
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_rd_mm_2",1,1.553
"short cue","R_08x3yfNtCFtgBYl","dual feature","Match","sim_conj_rs_m_1",1,2.727
"short cue","R_08x3yfNtCFtgBYl","dual feature","Match","sim_conj_rs_m_2",1,1.555
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_rs_mm_1",1,1.715
"short cue","R_08x3yfNtCFtgBYl","dual feature","Mismatch","sim_conj_rs_mm_2",1,1.563
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_gd_m_1",1,1.589
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_gd_m_2",1,2.234
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_gd_mm_1",1,2.42
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_gs_m_1",1,1.546
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_gs_m_2",1,1.557
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_gs_mm_1",1,1.689
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_gs_mm_2",1,1.788
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_rd_m_1",1,1.673
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_rd_m_2",1,1.649
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_rd_mm_2",1,2.075
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_rs_m_1",1,1.629
"short cue","R_08x3yfNtCFtgBYl","single feature","Match","sim_sing_rs_m_2",1,2.528
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_rs_mm_1",1,2.34
"short cue","R_08x3yfNtCFtgBYl","single feature","Mismatch","sim_sing_rs_mm_2",1,1.529
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_gd_m_1",1,0.984
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_gd_m_2",1,0.518
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_gd_mm_1",1,0.559
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_gd_mm_2",0,0.665
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_gs_m_1",1,0.891
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_gs_m_2",1,0.482
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_gs_mm_1",1,1.159
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_gs_mm_2",1,0.763
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_rd_m_1",1,0.814
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_rd_m_2",1,0.749
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_rd_mm_1",1,0.749
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_rd_mm_2",1,0.854
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_rs_m_1",1,0.783
"short cue","R_0OmSAzFURsT3hND","dual feature","Match","sim_conj_rs_m_2",1,0.597
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_rs_mm_1",1,0.535
"short cue","R_0OmSAzFURsT3hND","dual feature","Mismatch","sim_conj_rs_mm_2",1,0.538
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_gd_m_1",1,0.946
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_gd_m_2",1,1.181
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_gd_mm_1",1,1.695
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_gd_mm_2",1,1.58
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_gs_m_1",1,0.818
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_gs_m_2",1,0.857
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_gs_mm_1",1,1.908
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_gs_mm_2",1,0.952
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_rd_m_1",1,0.752
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_rd_m_2",1,1.221
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_rd_mm_1",1,0.962
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_rd_mm_2",1,1.261
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_rs_m_1",1,1.472
"short cue","R_0OmSAzFURsT3hND","single feature","Match","sim_sing_rs_m_2",1,1.039
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_rs_mm_1",1,0.892
"short cue","R_0OmSAzFURsT3hND","single feature","Mismatch","sim_sing_rs_mm_2",1,1.132
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_gd_m_1",1,1.408
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_gd_m_2",1,0.947
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_gd_mm_1",1,0.987
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_gd_mm_2",1,0.825
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_gs_m_1",1,0.988
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_gs_m_2",1,1.242
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_gs_mm_1",1,0.832
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_gs_mm_2",1,0.714
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_rd_m_1",1,1.214
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_rd_m_2",1,1.237
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_rd_mm_1",1,0.925
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_rd_mm_2",1,0.71
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_rs_m_1",1,1.332
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Match","sim_conj_rs_m_2",1,1.123
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_rs_mm_1",1,0.75
"short cue","R_10ZPMCCzcV8FG6A","dual feature","Mismatch","sim_conj_rs_mm_2",1,0.602
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_gd_m_1",1,0.914
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_gd_m_2",1,1.326
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_gd_mm_1",1,0.648
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_gd_mm_2",1,0.732
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_gs_m_1",1,0.971
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_gs_m_2",1,1.527
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_gs_mm_1",1,0.744
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_gs_mm_2",1,0.635
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_rd_m_1",1,1.046
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_rd_m_2",1,1.631
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_rd_mm_1",1,0.93
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_rd_mm_2",1,0.883
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_rs_m_1",1,1.181
"short cue","R_10ZPMCCzcV8FG6A","single feature","Match","sim_sing_rs_m_2",1,1.064
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_rs_mm_1",1,0.583
"short cue","R_10ZPMCCzcV8FG6A","single feature","Mismatch","sim_sing_rs_mm_2",1,0.77
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_gd_m_1",1,0.548
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_gd_m_2",0,0.798
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_gd_mm_1",1,0.499
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_gd_mm_2",1,0.534
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_gs_m_1",1,0.502
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_gs_m_2",1,0.553
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_gs_mm_1",1,0.548
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_gs_mm_2",1,0.502
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_rd_m_1",1,0.528
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_rd_m_2",1,0.57
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_rd_mm_1",1,0.643
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_rd_mm_2",1,0.515
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_rs_m_1",1,0.442
"short cue","R_12s68Ligswec1t3","dual feature","Match","sim_conj_rs_m_2",1,0.503
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_rs_mm_1",1,0.463
"short cue","R_12s68Ligswec1t3","dual feature","Mismatch","sim_conj_rs_mm_2",1,0.633
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_gd_m_1",1,0.459
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_gd_m_2",1,1.04
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_gd_mm_1",1,0.481
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_gd_mm_2",1,0.618
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_gs_m_1",1,0.43
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_gs_m_2",1,0.701
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_gs_mm_1",1,0.436
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_gs_mm_2",1,0.58
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_rd_m_1",1,0.565
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_rd_m_2",1,0.86
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_rd_mm_1",1,0.54
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_rd_mm_2",1,0.585
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_rs_m_1",1,0.521
"short cue","R_12s68Ligswec1t3","single feature","Match","sim_sing_rs_m_2",1,0.44
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_rs_mm_1",1,0.427
"short cue","R_12s68Ligswec1t3","single feature","Mismatch","sim_sing_rs_mm_2",1,0.74
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_gd_m_1",1,0.778
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_gd_m_2",1,1.143
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_gd_mm_1",1,0.683
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_gd_mm_2",1,1.137
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_gs_m_1",1,0.648
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_gs_m_2",1,0.822
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_gs_mm_1",1,0.584
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_gs_mm_2",1,0.871
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_rd_m_1",1,0.799
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_rd_m_2",1,0.809
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_rd_mm_1",1,0.714
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_rd_mm_2",1,0.998
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_rs_m_1",1,1.178
"short cue","R_1BPAkPhD282eIwa","dual feature","Match","sim_conj_rs_m_2",1,0.635
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_rs_mm_1",1,0.785
"short cue","R_1BPAkPhD282eIwa","dual feature","Mismatch","sim_conj_rs_mm_2",1,0.881
"short cue","R_1BPAkPhD282eIwa","single feature","Match","sim_sing_gd_m_1",1,1.067
